code,country,annex,co2_gg_2022,source
TLS,Timor-Leste,Non-Annex_I,572.60858140493,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GRL,Greenland,Annex_I,465.94687171499,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ABW,Aruba,Non-Annex_I,455.06486404987,https://edgar.jrc.ec.europa.eu/dataset_ghg80
WSM,Samoa,Non-Annex_I,355.43063967443,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GUF,French Guiana,Non-Annex_I,354.59204784042,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GNB,Guinea-Bissau,Non-Annex_I,350.08519955433,https://edgar.jrc.ec.europa.eu/dataset_ghg80
COM,Comoros,Non-Annex_I,342.87869139047,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SLB,Solomon Islands,Non-Annex_I,318.05829000031,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BMU,Bermuda,Non-Annex_I,317.54051537689,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CYM,Cayman Islands,Non-Annex_I,307.22709546884,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ATG,Antigua and Barbuda,Non-Annex_I,277.65104875281,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CAF,Central African Republic,Non-Annex_I,276.06827107629,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BLZ,Belize,Non-Annex_I,269.43513153608,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LCA,Saint Lucia,Non-Annex_I,254.79355313391,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ESH,Western Sahara,Non-Annex_I,241.50209657961,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VUT,Vanuatu,Non-Annex_I,218.14536874074,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TON,Tonga,Non-Annex_I,166.85637158388,https://edgar.jrc.ec.europa.eu/dataset_ghg80
STP,Sao Tome and Principe,Non-Annex_I,157.90606497236,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GRD,Grenada,Non-Annex_I,122.49818253122,https://edgar.jrc.ec.europa.eu/dataset_ghg80
COK,Cook Islands,Non-Annex_I,107.78232306557,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KNA,Saint Kitts and Nevis,Non-Annex_I,101.91838873045,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TCA,Turks and Caicos Islands,Non-Annex_I,88.357011506631,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VCT,Saint Vincent and the Grenadines,Non-Annex_I,82.778333954134,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KIR,Kiribati,Non-Annex_I,73.966650408062,https://edgar.jrc.ec.europa.eu/dataset_ghg80
DMA,Dominica,Non-Annex_I,68.8114927917,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VGB,Virgin Islands_British,Non-Annex_I,64.668794165199,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SPM,Saint Pierre and Miquelon,Non-Annex_I,37.100407151939,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AIA,Anguilla,Non-Annex_I,22.819878897908,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FLK,Falkland Islands (Malvinas),Non-Annex_I,21.776117192847,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SHN,Saint Helena,Non-Annex_I,17.900363906524,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MSR,Montserrat,Non-Annex_I,12.793179768682,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FRO,Faroe Islands,Annex_I,2.1122208881641,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GUM,Guam,Non-Annex_I,0.2596488998301,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VIR,Virgin Islands_USA,Non-Annex_I,0.15242461916361,https://edgar.jrc.ec.europa.eu/dataset_ghg80
